SDE_ID,CO_CODE,CTU_CODE,CTU_ID,COCTU_ID,CTU_NAME,YEAR,NONRES_GRO,NONRES_SUB,NONRES_TYP,BLDG_NAME,BLDG_DESC,PERMIT_TYP,PERMIT_VAL,SQF,ADDRESS,ZIP_CODE,PIN,community_,geometry
13155,037,27530,02394320,03702394320,Hastings,2013,P,HNH,Medical Facilities,Regina Hospital,2-story addition,A,980864.0,0.0,1175 Nininger Road,55033,,Emerging Suburban Edge,POINT (510019.33469999954 4954874.667199999)
6239,037,27530,02394320,03702394320,Hastings,2006,P,SCH,Schools,Kennedy Elementary School,"School, media center",A,798000.0,4935.0,1175 Tyler St,55033,,Emerging Suburban Edge,POINT (512037.2887000004 4953522.464299999)
6052,003,13114,02393628,00302393628,Coon Rapids,2006,P,HNH,Medical Facilities,Camilla Rose,Nursing home,A,9000000.0,5164.0,11800 Xeon Blvd,55433,,Suburban,POINT (476236.9715999998 5003573.9825)
6407,053,40166,02395838,05302395838,Maple Grove,2006,C,COS,Eating and Drinking Establishments,Benihana,Restaurant,N,574302.0,6706.0,11840 Fountains Way N,55369,,Suburban Edge,POINT (466104.6925999997 4993461.6492)
9191,053,40166,02395838,05302395838,Maple Grove,2009,P,REL,Religious,Shepard of the Grove,Daycare addition at church,A,912939.0,7967.0,11875 West Eagle Lake Dr,55369,35-119-22-12-0051,Suburban Edge,POINT (466111.29229999986 4991689.229900001)
7217,037,27530,02394320,03702394320,Hastings,2007,C,COS,Eating and Drinking Establishments,Dairy Queen,Restaurant,N,138263.0,1920.0,1205 Vermillion St,55033,,Emerging Suburban Edge,POINT (511705.80040000007 4953462.6898)
12307,037,55726,02396433,03702396433,Rosemount,2012,P,SCH,Schools,no building name,stadium,N,149278.0,0.0,1300 145th St E,55068,,Emerging Suburban Edge,POINT (493992.2810000004 4953723.241800001)
7525,123,58000,02396511,12302396511,St. Paul,2007,P,HNH,Medical Facilities,Alton Memory Care Center,Nursing home,N,5000000.0,0.0,1306 Alton St,,2.2282322012e+011,Urban Center,POINT (486965.56489999965 4972091.1306)
3320,037,69700,02397275,03702397275,West St. Paul,2003,C,COS,Eating and Drinking Establishments,K-Street Coffee,Restaurant,A,104000.0,450.0,1307 Robert St,55118,,Urban Center,POINT (493602.4176000003 4972588.204399999)
7244,037,41678,02395096,03702395096,Mendota,2007,C,COS,Eating and Drinking Establishments,VFW,Bar/meeting space,A,243000.0,1700.0,1323 Sibley Memorial Highway,,,Suburban,POINT (487197.8912000004 4970556.9902)
5572,053,55186,02396415,05302396415,Rogers,2005,C,COS,Eating and Drinking Establishments,Culvers,Restaurant,N,600000.0,4436.0,13605 Northdale Blvd,55374,1412023310020,Emerging Suburban Edge,POINT (456422.15309999976 5005453.5483)
13002,003,01486,02393954,00302393954,Andover,2013,C,COS,Eating and Drinking Establishments,Pizza Ranch,Restaurant,N,1343419.0,7706.0,13797 Jay Street NW,55304,343224140010,Emerging Suburban Edge,POINT (475610.84690000024 5007493.1274)
4155,019,10972,02393809,01902393809,Chaska,2004,P,SCH,Schools,Chaska Middle School W,Middle School,A,2375500.0,0.0,140 Engler Blvd,55318,300330700,Suburban Edge,POINT (452509.1489000004 4961723.0155)
4744,139,45808,02395211,13902395211,New Prague,2004,C,OFF,Medical Facilities,Parkview Medical Clinic,Medical clinic,N,1032000.0,0.0,1400 1st St NE,56071,240520010,Non-Council,POINT (455656.18319999985 4932455.7608)
12156,037,27530,02394320,03702394320,Hastings,2012,P,REL,Religious,St. Philips Church,Brick building,A,2000000.0,0.0,1401 West 15th St.,55033,,Emerging Suburban Edge,POINT (509286.51779999956 4953056.8245)
3191,037,01900,02393967,03702393967,Apple Valley,2003,P,SCH,Schools,Scott Highlands Middle School,School; add bathrooms,A,101000.0,0.0,14011 Pilot Knob Rd,55124,,Suburban,POINT (485841.2982000001 4954511.2597)
3679,139,58738,02396543,13902396543,Savage,2003,C,RET,Grocery,Cub Foods,Grocery store,N,3400000.0,71368.0,14075 Hwy 13 S,55378,263500030,Suburban,POINT (470077.15770000033 4955223.579500001)
11166,053,27476,00664409,05300664409,Hassan Township,2011,C,COS,Eating and Drinking Establishments,Hardees,fast food,N,640000.0,0.0,14086 Northdale Blvd,55374,,Emerging Suburban Edge,POINT (456484.77809999976 5006426.3935)
14089,139,58738,02396543,13902396543,Savage,2014,C,COS,Arts Entertainment and Recreation,The Springs At Egan Drive Clubhouse,Clubhouse For Apartment Complex Named Springs At Egan Drive.  This Complex Is Listed In The Multi-Family Section Of Residential,N,647000.0,3581.0,14125 Louisiana Ave,55378,264560010,Suburban,POINT (470950.2999999998 4955044.1182)
3676,139,58738,02396543,13902396543,Savage,2003,C,COS,Eating and Drinking Establishments,KFC/A&W,Fast food restaurant,N,275000.0,4089.0,14165 Hwy 13 S,55378,263500050,Suburban,POINT (470029.56010000035 4954938.375499999)
4765,139,58738,02396543,13902396543,Savage,2004,P,REL,Religious,St. Mary Magdalene,Church,A,650000.0,3943.0,14225 Quentin Ave,55378,261510010,Suburban,POINT (472807.67929999996 4954783.3641)
4337,037,55726,02396433,03702396433,Rosemount,2004,P,REL,Religious,Community of Hope,Church,N,1300000.0,0.0,14401 Biscayne Ave,55068,,Emerging Suburban Edge,POINT (490741.51889999956 4954130.7404)
7475,053,68818,02397235,05302397235,Wayzata,2007,C,COS,Eating and Drinking Establishments,McDonald's,Restaurant; fast food,N,495000.0,4973.0,1450 Wayzata Blvd E,55391,0511722310021,Suburban,POINT (460967.11959999986 4979826.5374)
10297,139,59350,02395854,13902395854,Shakopee,2010,P,HNH,Medical Facilities,St. Francis Regional Medical Center,Food service addition,A,3500000.0,0.0,1455 St Francis Av,,,Suburban Edge,POINT (460030.6166000003 4957674.1645)
12385,123,58000,02396511,12302396511,St. Paul,2012,P,SCH,Schools,Nova Classical Academy,School,N,6533375.0,0.0,1455 Victoria Way,55102,,Urban Center,POINT (489136.0553000001 4973801.5671)
5201,037,01900,02393967,03702393967,Apple Valley,2005,C,OFF,Medical Facilities,Oral & Maxillofacial Surgery,"Dental clinic, Bakken Prof. Bldg",N,139000.0,2204.0,14635 Pennock Av,55124,,Suburban,POINT (482288.18989999965 4953677.1559999995)
8473,163,30392,02394440,16302394440,Hugo,2008,C,OFF,Medical Facilities,Healtheast Clinic,Medical clinic and tenant space,N,450000.0,14000.0,14688 Everton Av N,,,Emerging Suburban Edge,POINT (499188.4446999999 5001100.541200001)
5128,019,05266,00663571,01900663571,Benton Township,2005,P,REL,Religious,Zion Lutheran Church,"Church, kitchen & storage addn",A,604500.0,2303.0,14735 Co Rd 153,55322,10270800,Agricultural,POINT (434452.45859999955 4954047.357899999)
5626,123,55852,02396435,12302396435,Roseville,2005,C,COS,Eating and Drinking Establishments,Perkins,Restaurant,N,1000000.0,0.0,1495 Co Rd B,55113,102923330017,Urban,POINT (487172.12799999956 4983695.265900001)
3184,037,01900,02393967,03702393967,Apple Valley,2003,C,COS,Eating and Drinking Establishments,Krispy Kreme,Fast food restaurant,N,468000.0,4693.0,14989 Florence Tr,55124,,Suburban,POINT (484311.1508999998 4953265.3697)
11168,053,30140,02394417,05302394417,Hopkins,2011,C,OFF,Medical Facilities,Hopkins Health & Wellness Center,Addition,A,872000.0,0.0,15 8th Ave N,55343,2411720000000,Urban Center,POINT (467658.3958999999 4974702.4647)
12410,037,69700,02397275,03702397275,West St. Paul,2012,C,OFF,Medical Facilities,Allina Medical Group,Interior remodel of existing clinic and 1394 Square Feet clinic Addition.,A,1273000.0,1394.0,150 Emerson Ave E,55118,420200025012,Urban Center,POINT (493807.66860000044 4972332.842700001)
5538,053,51730,02396242,05302396242,Plymouth,2005,P,SCH,Schools,Providence Academy,School,A,12000000.0,83864.0,15000 Schmidt Lake Rd,55446,9240046,Suburban Edge,POINT (462883.0207000002 4988071.6043)
12356,123,58000,02396511,12302396511,St. Paul,2012,P,SCH,Schools,Hmong College Prep Academy,Addition to campus,N,162807.0,0.0,1515 Brewster St,,,Urban Center,POINT (487062.2796 4980184.0922)
6172,037,01900,02393967,03702393967,Apple Valley,2006,C,COS,Eating and Drinking Establishments,Luxury Sweets & Gelateria,"Restaurant,  Legacy Shops South",N,160000.0,3000.0,15322 Galaxie Av,55124,,Suburban,POINT (483598.9462000001 4952580.2718)
4181,037,01900,02393967,03702393967,Apple Valley,2004,C,COS,Eating and Drinking Establishments,Enjoy Restaurant,Restaurant,N,1619000.0,11075.0,15435 Founders Lane,55124,,Suburban,POINT (483701.05590000004 4952538.4673999995)
13014,003,06382,02394183,00302394183,Blaine,2013,C,COS,Eating and Drinking Establishments,Multi-tenant (includes Buffalo Wild Wings),Shell,N,680000.0,10000.0,1540 109th Ave NE,,,Suburban Edge,POINT (481799.6986999996 5001599.448100001)
13278,053,43252,02395350,05302395350,Minnetonka,2013,C,OFF,Medical Facilities,Medical Office Center,Medical office,N,6500000.0,0.0,15450 State Highway No 7,,,Suburban,POINT (462443.6963999998 4974326.7842999995)
4460,053,40166,02395838,05302395838,Maple Grove,2004,P,SCH,Schools,Heritage Christian Academy,School,A,1714267.0,18522.0,15655 Bass Lake Rd,55311,,Suburban Edge,POINT (462254.4852999998 4992139.738700001)
12008,037,01900,02393967,03702393967,Apple Valley,2012,C,COS,Eating and Drinking Establishments,Pizza Ranch,Wood framed restaurant,N,1000000.0,6900.0,15662 Pilot Knob Rd,,,Suburban,POINT (486050.37430000026 4952050.3445999995)
5850,163,71428,02397369,16302397369,Woodbury,2005,P,REL,Religious,King of Kings Lutheran,Church,A,5392000.0,31707.0,1583 Radio Dr,55125,,Suburban Edge,POINT (505321.9676000001 4974696.5518)
11288,123,58000,02396511,12302396511,St. Paul,2011,P,TRS,Transit,Met Council,LRT Platform,N,955392.0,4320.0,1595 UNIVERSITY AVE W,,,Urban Center,POINT (486768.06769999955 4978044.2645)
10292,139,59350,02395854,13902395854,Shakopee,2010,P,SCH,Schools,Jackson Elementary,Elementary school,N,11014700.0,0.0,1601 Lusitano St,,,Suburban Edge,POINT (457475.8158999998 4957771.000499999)
10293,139,59350,02395854,13902395854,Shakopee,2010,P,SCH,Schools,Jackson Elementary,Elementary school,N,250000.0,0.0,1601 Lusitano St,,,Suburban Edge,POINT (457475.8158999998 4957771.000499999)
14113,053,43000,02395345,05302395345,Minneapolis,2014,P,SCH,Schools,Northrop Elementary,School,A,4040141.0,0.0,1611 46th St E,,,Urban Center,POINT (480228.61110000033 4973960.9485)
9237,053,57220,02396500,05302396500,St. Louis Park,2009,C,COS,Eating and Drinking Establishments,Star Bar in the Kerasotes Theater,Restaurant,N,608000.0,1172.0,1625 West End Blvd,55416,30-029-24-33-0031,Urban Center,POINT (472590.84300000034 4979368.275900001)
14117,037,35180,02395614,03702395614,Lakeville,2014,C,COS,Arts Entertainment and Recreation,Trans4orm Fitness,Yoga Studio,A,165000.0,0.0,16309 Kenrick Ave,,,Suburban Edge,POINT (477808.31460000016 4951113.3335)
6145,019,67432,02397159,01902397159,Waconia,2006,P,SCH,Schools,Clearwater Middle School,School,A,4500000.0,29600.0,1650 Community Dr,55387,,Emerging Suburban Edge,POINT (435151.86840000004 4964917.192299999)
5363,037,69700,02397275,03702397275,West St. Paul,2005,C,RET,Grocery,Rainbow Foods,Grocery store,A,3080259.0,61000.0,1660 Robert St S,55118,424320401001,Urban Center,POINT (493777.47479999997 4971376.6821)
9118,037,35180,02395614,03702395614,Lakeville,2009,P,TRS,Transit,Metro Transit,Parking ramp,N,8243000.0,246918.0,16775 Kenrick Ave,55044,,Suburban Edge,POINT (477480.1029000003 4950439.4202)
13439,139,59350,02395854,13902395854,Shakopee,2013,P,REL,Religious,Hosanna Church,Church,N,900000.0,0.0,1690 Vierling Dr E,,,Suburban Edge,POINT (460304.9104000004 4958628.8967)
8187,037,69700,02397275,03702397275,West St. Paul,2008,C,COS,Eating and Drinking Establishments,Sonic Resturant,Restaurant; fast food,N,700000.0,1632.0,1701 Robert St,55118,,Urban Center,POINT (493597.3788999999 4971273.791099999)
13314,053,51730,02396242,05302396242,Plymouth,2013,P,SCH,Schools,Wayzata Central Services  Building,Office Addition,A,1229628.0,3500.0,17305 19th Ave No.,55447,2911822320003,Suburban Edge,POINT (460526.69049999956 4982976.336200001)
12252,053,43252,02395350,05302395350,Minnetonka,2012,P,SCH,Schools,Groveland Elementary School,"Additins and remodeling to library, classrooms, kitchen",A,1712000.0,0.0,17310 Minnetonka Blvd,55345,,Suburban,POINT (460687.4408999998 4976668.8835)
8148,037,35180,02395614,03702395614,Lakeville,2008,C,COS,Arts Entertainment and Recreation,Brackett's Crossing,Country club banquet/pro-shop,A,2800000.0,17600.0,17976 Judicial Rd,55044,22-15000-010-01,Suburban Edge,POINT (474947.73699999973 4948725.8488)
5841,163,62824,02395969,16302395969,Stillwater,2005,C,RET,Grocery,Cub Foods,Grocery store; dock/storage addn,A,385000.0,0.0,1801 Market Dr,55082,3203020330006,Suburban,POINT (512715.3267999999 4987337.6151)
10094,037,35180,02395614,03702395614,Lakeville,2010,C,OFF,Medical Facilities,Lakeville Orthodontics,New Dental Office,N,545000.0,0.0,18341 Orchard Tr,55044,,Suburban Edge,POINT (477173.6864 4947843.337200001)
7405,053,43000,02395345,05302395345,Minneapolis,2007,C,COS,Eating and Drinking Establishments,Porky's,Restaurant; fast food,N,577559.0,650.0,1851 Central Av NE,,,Urban Center,POINT (480537.17899999954 4983824.6393)
3792,163,71428,02397369,16302397369,Woodbury,2003,C,OFF,Medical Facilities,Timco Construction,Minn. Oncology-Hematology,A,297000.0,4320.0,1875 Woodwinds Dr,55125,,Suburban Edge,POINT (501834.4269000003 4974374.119999999)
3286,037,35180,02395614,03702395614,Lakeville,2003,P,SCH,Schools,Kenwood Trail Jr High School,School/science room,A,937866.0,700.0,19455 Kenwood Trl,55044,220190002030,Suburban Edge,POINT (478479.9665000001 4946254.5494)
6731,139,59350,02395854,13902395854,Shakopee,2006,P,SCH,Schools,Senior high school,School; pool addition,A,2877185.0,0.0,200 10th Av E,55379,,Suburban Edge,POINT (458650.3184000002 4959479.610400001)
4005,003,01486,02393954,00302393954,Andover,2004,C,RET,Grocery,Target Store,Retail,N,3988193.0,141481.0,2000 Bunker Lake Blvd,55304,,Emerging Suburban Edge,POINT (475157.8881000001 5007178.6547)
14145,123,58000,02396511,12302396511,St. Paul,2014,P,SCH,Schools,St Catherine's University,Butler Sports & Fitness Ctr,A,5234000.0,0.0,2004 Randolph Ave,,,Urban Center,POINT (485577.44319999963 4974729.3353)
3234,037,20618,02394747,03702394747,Farmington,2003,P,REL,Religious,Farmington Lutheran Church,Church,N,3100000.0,0.0,20600 Akin Rd,55024,,Emerging Suburban Edge,POINT (487506.33779999986 4944184.280200001)
9323,123,69970,02397299,12302397299,White Bear Lake,2009,C,COS,Eating and Drinking Establishments,McDonald's,New building restaurant,N,575000.0,4784.0,2070 County Rd E East 55110,55110,,Suburban,POINT (498915.3169999998 4988476.5722)
6458,053,43000,02395345,05302395345,Minneapolis,2006,C,RET,Grocery,Aldi,Grocery store buildout,A,475000.0,14837.0,2100 Lake St E,55407,,Urban Center,POINT (480982.8350999998 4977403.922599999)
3752,163,45790,02395227,16302395227,Newport,2003,C,COS,Eating and Drinking Establishments,Clover Leaf Liquor,Bar,N,171543.0,0.0,2146 Hastings Av,55055,2502822320033,Urban,POINT (499846.9439000003 4969678.4812)
4608,053,55186,02396415,05302396415,Rogers,2004,P,SCH,Schools,Kaleidoscope Charter,School,N,400000.0,19646.0,21705 129th Ave,55374,,Emerging Suburban Edge,POINT (456411.7586000003 5003973.8719)
3809,163,71428,02397369,16302397369,Woodbury,2003,C,COS,Eating and Drinking Establishments,RJ Ryan Construction,Tinucci's Restaurant,A,190000.0,3500.0,2190 Eagle Creek Ln,55129,,Suburban Edge,POINT (507723.4314000001 4973711.8583)
5694,139,04834,02394113,13902394113,Belle Plaine,2005,P,SCH,Schools,ISD #716,High school,A,9900000.0,38697.0,220 Market St S,56011,200340040,Rural Centers,POINT (438735.1349999998 4940947.0602)
6698,139,45808,02395211,13902395211,New Prague,2006,P,SCH,Schools,Independent School District 721,High school,A,12000000.0,67200.0,221 12th St NE,56071,240630010,Non-Council,POINT (454235.85919999983 4934203.875700001)
4478,053,43000,02395345,05302395345,Minneapolis,2004,C,OFF,Medical Facilities,Phillips Eye,"Medical clinic, shell",A,2556671.0,8177.0,2215 Park Ave,55404,,Urban Center,POINT (479153.5334999999 4978540.4572)
7484,123,37502,02395733,12302395733,Little Canada,2007,C,COS,Eating and Drinking Establishments,McDonald's,Restaurant; fast food,N,600000.0,5000.0,2260 Rice St,55113,,Suburban,POINT (491695.43960000016 4984001.395500001)
13285,053,44476,02395111,05302395111,Mound,2013,C,COS,Eating and Drinking Establishments,Dakota Junction,Restaurant,N,206000.0,0.0,2281 Commerce Blvd,55364,1411724440069,Suburban,POINT (447398.9583999999 4976198.235400001)
6141,019,67432,02397159,01902397159,Waconia,2006,P,SCH,Schools,Bayview Elementary,School,A,3200000.0,30000.0,24 Walnut St S,55387,,Emerging Suburban Edge,POINT (437258.8388 4966654.5474)
11270,123,58000,02396511,12302396511,St. Paul,2011,P,HNH,Medical Facilities,County Of Ramsey Property Management,Behavioral Health Building,N,22898570.0,114968.0,240 UNIVERSITY AVE E,,,Urban Center,POINT (492554.37990000006 4978170.4462)
4794,163,21770,02394789,16302394789,Forest Lake,2004,C,COS,Eating and Drinking Establishments,Park Place Za's Pizza #105,Restaurant  (buildout),N,170000.0,2532.0,25 Lake St N,55025,0803221120149,Emerging Suburban Edge,POINT (501202.0078999996 5013981.612400001)
12246,053,43000,02395345,05302395345,Minneapolis,2012,C,OFF,Medical Facilities,The Mother Baby Center,Structural shell and exterior enclosure for addition of birthing center,A,5476318.0,0.0,2525 Chicago Av,55404,,Urban Center,POINT (479349.98139999993 4978186.785599999)
6609,123,56680,02396471,12302396471,St. Anthony,2006,C,OFF,Medical Facilities,Silver Lake Clinic,Medical office,N,461738.0,13212.0,2600 39th Av,55421,313023340031,Urban,POINT (482495.2625000002 4987330.353499999)
5622,123,47221,02395261,12302395261,North St. Paul,2005,C,OFF,Medical Facilities,Berwald Investment,Medical/professional building,N,2500000.0,24480.0,2601 Centennial Dr,55109,,Urban,POINT (500746.55900000036 4984676.938200001)
3243,037,27530,02394320,03702394320,Hastings,2003,C,COS,Arts Entertainment and Recreation,Hastings Gymnastics,Gymnastics center,A,147583.0,4000.0,2628 Millard,55033,,Emerging Suburban Edge,POINT (512874.72699999996 4952032.969900001)
6586,123,40382,02395846,12302395846,Maplewood,2006,P,SCH,Schools,Hill Murray,School,A,4850000.0,29320.0,2625 Larpenteur Ave E,55109,,Urban,POINT (500624.45660000015 4982294.413699999)
6592,123,40382,02395846,12302395846,Maplewood,2006,C,OFF,Medical Facilities,Regions Hospital Sleep Center,Medical,N,1200000.0,7084.0,2688 Maplewood Dr,55109,,Urban,POINT (496160.716 4985412.9342)
6565,053,56680,02396471,05302396471,St. Anthony,2006,C,COS,Eating and Drinking Establishments,St. Anthony Village Pub,Restaurant,N,200000.0,4000.0,2720 County Rd 88,55418,0702923210133,Urban,POINT (482808.4025999997 4984870.3321)
13471,163,15616,02394503,16302394503,Dellwood,2013,C,COS,Arts Entertainment and Recreation,Dellwood Country Club,Private Golf Club,A,1950000.0,0.0,29 Highway 96,55110,,Diversified Rural,POINT (501923.81630000006 4994888.4309)
14206,053,43000,02395345,05302395345,Minneapolis,2014,C,COS,Arts Entertainment and Recreation,Latitude 45 Luxury Apartments,Pool,A,129000.0,0.0,301 Washington Ave,,,Urban Center,POINT (478474.1341000004 4981253.3993)
3479,053,51730,02396242,05302396242,Plymouth,2003,P,REL,Religious,Association of Free Lutheran Churches,Church,N,3300000.0,40209.0,3134 Medicine Lake Blvd,55441,2411822240059,Suburban Edge,POINT (467403.6902999999 4984709.0572)
9248,053,57220,02396500,05302396500,St. Louis Park,2009,P,SCH,Schools,Groves Academy,School,A,1018351.0,5300.0,3200 State Hwy 100 S,55416,06-028-24-22-0061,Urban Center,POINT (472443.2745000003 4977042.9472)
6482,053,43000,02395345,05302395345,Minneapolis,2006,C,COS,Arts Entertainment and Recreation,Minikahda Golf Club,Golf club,A,194999.0,0.0,3205 Excelsor Blvd,55416,,Urban Center,POINT (474239.6228 4976762.0967)
3258,037,31076,02395429,03702395429,Inver Grove Heights,2003,P,REL,Religious,Mt. Bethel Methodist Church,Church,A,691000.0,3300.0,3239 70th St E,55076,,Suburban Edge,POINT (496889.6394999996 4966127.934599999)
5518,053,43000,02395345,05302395345,Minneapolis,2005,C,COS,Eating and Drinking Establishments,Wendy's,Restaurant; fast food,N,632000.0,0.0,325 Franklin Av E,55404,,Urban Center,POINT (478614.36340000015 4978809.6163)
4548,053,43000,02395345,05302395345,Minneapolis,2004,P,REL,Religious,Grace University Lutheran Church,Church addition,A,1100500.0,2815.0,326 Harvard St SE,55455,,Urban Center,POINT (481814.8569 4979939.419600001)
4350,037,69700,02397275,03702397275,West St. Paul,2004,C,COS,Arts Entertainment and Recreation,Anytime Fitness,Fitness center--office addition,A,180000.0,4900.0,330 Marie Ave,55118,420290004006,Urban Center,POINT (494389.6618999997 4970742.8741999995)
6382,053,18188,02394621,05302394621,Edina,2006,P,SCH,Schools,Lindamood Bell,School (specialty learning center); tenant finish,N,107000.0,0.0,3300 Edinborough Way,55435,,Urban,POINT (474692.9201999996 4967729.2344)
14230,053,43000,02395345,05302395345,Minneapolis,2014,P,SCH,Schools,Richard R. Green Central Park Community School,Trash Enclosure Addition,A,273060.0,0.0,3416 4th Ave S,,,Urban Center,POINT (478601.6227000002 4976370.271400001)
3192,037,08794,02393472,03702393472,Burnsville,2003,C,OFF,Medical Facilities,Duren Dental Clinic,Dental clinic,N,760156.0,3980.0,351 Nicollet Blvd W,55337,022610502001,Suburban,POINT (477560.6348000001 4955301.9878)
4203,037,08794,02393472,03702393472,Burnsville,2004,C,COS,Arts Entertainment and Recreation,Soccer Blast,Indoor soccer field,A,800000.0,0.0,3501 County Rd. 42W,55306,,Suburban,POINT (474308.1928000003 4954748.2947)
13028,003,13114,02393628,00302393628,Coon Rapids,2013,C,COS,Eating and Drinking Establishments,Chick-Fil-A,Restaurant,N,1454795.0,0.0,3590 River Rapids Dr,,,Suburban,POINT (471955.5730999997 5005102.302100001)
14240,123,58000,02396511,12302396511,St. Paul,2014,C,COS,Arts Entertainment and Recreation,Saints Ball Park,Stadium,N,37202251.0,0.0,360 Broadway St,,,Urban Center,POINT (493384.15660000034 4977489.216399999)
3474,053,51730,02396242,05302396242,Plymouth,2003,C,COS,Arts Entertainment and Recreation,Lifetime Fitness,Fitness center,A,400000.0,1658.0,3600 Plymouth Blvd,55447,1611822340017,Suburban Edge,POINT (462504.3203999996 4985548.435900001)
7008,003,01720,02393964,00302393964,Anoka,2007,C,COS,Eating and Drinking Establishments,Meadow Creek Center,Restaurant,A,390000.0,2711.0,3603 Round Lk Blvd,55303,T002179,Suburban,POINT (471880.56900000013 5007280.977)
12394,123,66460,02397106,12302397106,Vadnais Heights,2012,P,SCH,Schools,Vadnais Heights Elementary,School,A,1188000.0,0.0,3645 Centerville Rd,,293022440003,Suburban,POINT (494515.9610000001 4988748.9255)
11230,053,57220,02396500,05302396500,St. Louis Park,2011,C,COS,Arts Entertainment and Recreation,Parkshores Senior Complex,Pool addition with interior remodel,A,1130000.0,0.0,3663 Park Center Blvd,,,Urban Center,POINT (472797.3328 4975887.9002)
